"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 31 18:22:17 IST 2024","Tue Dec 31 18:22:18 IST 2024","516","TestCases.indianBank","test_indianBank_org","TestIndianBank","","","test_send_indianBank_org_for_approval",""
"passed","Tue Dec 31 18:22:17 IST 2024","Tue Dec 31 18:22:17 IST 2024","342","TestCases.indianBank","test_indianBank_org","TestIndianBank","","","test_create_indianBank_org",""
"passed","Tue Dec 31 18:23:08 IST 2024","Tue Dec 31 18:23:31 IST 2024","23136","TestCases.indianBank","test_indianBank_card","TestIndianBankCard","","","test_indianBank_card_load_allowed_only_three_times_in_a_day",""
"passed","Tue Dec 31 18:22:52 IST 2024","Tue Dec 31 18:23:03 IST 2024","11098","TestCases.indianBank","test_indianBank_card","TestIndianBankCard","","","test_create_indianBank_gpr_insta_card",""
"passed","Tue Dec 31 18:22:20 IST 2024","Tue Dec 31 18:22:21 IST 2024","223","TestCases.indianBank","test_indianBank_cp","TestIndianBankCP","","","test_add_charges_for_non_financial_txn_for_Non_Indian_bank",""
"failed","Tue Dec 31 18:23:31 IST 2024","Tue Dec 31 18:24:00 IST 2024","28815","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_pos_txn_more_than_card_availibale_balance",""
"passed","Tue Dec 31 18:24:00 IST 2024","Tue Dec 31 18:24:28 IST 2024","27267","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_pos_per_txn_limit_more_than_card_per_txn_limit",""
"passed","Tue Dec 31 18:22:30 IST 2024","Tue Dec 31 18:22:37 IST 2024","7119","TestCases.indianBank","test_indianBank_card","TestIndianBankCard","","","test_do_first_card_load_for_indian_bank",""
"passed","Tue Dec 31 18:22:44 IST 2024","Tue Dec 31 18:22:51 IST 2024","7187","TestCases.indianBank","test_indianBank_card","TestIndianBankCard","","","test_do_first_digital_card_load_for_indian_bank",""
"passed","Tue Dec 31 18:24:55 IST 2024","Tue Dec 31 18:24:55 IST 2024","0","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_pos_daily_txn_limit_more_than_the_card_daily_txn_limit",""
"passed","Tue Dec 31 18:22:21 IST 2024","Tue Dec 31 18:22:22 IST 2024","985","TestCases.indianBank","test_indianBank_wallet","TestIndianBankWallet","","","test_indianBank_wallet",""
"passed","Tue Dec 31 18:24:55 IST 2024","Tue Dec 31 18:24:55 IST 2024","0","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_pos_daily_txn_limit_more_than_card_daily_limit",""
"skipped","Tue Dec 31 18:22:43 IST 2024","Tue Dec 31 18:22:43 IST 2024","0","TestCases.indianBank","test_indianBank_card","TestIndianBankCard","","","test_do_indianBank_full_kyc_digital_card",""
"passed","Tue Dec 31 18:24:28 IST 2024","Tue Dec 31 18:24:28 IST 2024","0","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_pos_per_txn_limit_with_negative_balance",""
"failed","Tue Dec 31 18:26:17 IST 2024","Tue Dec 31 18:26:44 IST 2024","27033","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_cl_txn_more_than_card_availibale_balance",""
"passed","Tue Dec 31 18:22:18 IST 2024","Tue Dec 31 18:22:19 IST 2024","568","TestCases.indianBank","test_indianBank_org","TestIndianBank","","","test_load_money_to_org",""
"passed","Tue Dec 31 18:24:28 IST 2024","Tue Dec 31 18:24:55 IST 2024","27359","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_pos_per_txn_limit_with_less_than_per_txn_limit",""
"passed","Tue Dec 31 18:22:20 IST 2024","Tue Dec 31 18:22:20 IST 2024","200","TestCases.indianBank","test_indianBank_cp","TestIndianBankCP","","","test_add_charges_for_non_financial_txn_for_Indian_bank",""
"passed","Tue Dec 31 18:27:38 IST 2024","Tue Dec 31 18:27:38 IST 2024","0","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_cl_verify_daily_txn_limit_with_negative_balance",""
"failed","Tue Dec 31 18:25:22 IST 2024","Tue Dec 31 18:25:49 IST 2024","27046","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_ecom_per_txn_limit_more_than_card_per_txn_limit",""
"failed","Tue Dec 31 18:27:38 IST 2024","Tue Dec 31 18:33:43 IST 2024","365156","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_pos_ecom_and_cl_txn_count",""
"failed","Tue Dec 31 18:27:11 IST 2024","Tue Dec 31 18:27:38 IST 2024","27159","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_cl_per_txn_limit_with_less_than_per_txn_limit",""
"passed","Tue Dec 31 18:27:38 IST 2024","Tue Dec 31 18:27:38 IST 2024","0","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_cl_daily_txn_limit_more_than_the_card_daily_txn_limit",""
"passed","Tue Dec 31 18:24:55 IST 2024","Tue Dec 31 18:24:55 IST 2024","0","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_pos_daily_limit_with_less_than_card_daily_txn_limit",""
"passed","Tue Dec 31 18:26:17 IST 2024","Tue Dec 31 18:26:17 IST 2024","0","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_ecom_verify_daily_txn_limit_with_negative_balance",""
"passed","Tue Dec 31 18:22:20 IST 2024","Tue Dec 31 18:22:20 IST 2024","242","TestCases.indianBank","test_indianBank_cp","TestIndianBankCP","","","test_add_Atm_Charges_for_Non_Indian_bank",""
